"Category";"Syyskuu";"Elokuu";"Heinäkuu";"Kesäkuu";"Toukokuu"
"1961";0;2;14;17;4
"1962";0;0;2;1;0
"1963";4;8;15;8;11
"1964";0;5;9;7;0
"1965";0;5;6;6;0
"1966";0;1;14;16;1
"1967";2;8;13;7;2
"1968";5;8;4;16;0
"1969";0;18;12;14;0
"1970";0;9;13;17;0
"1971";0;7;17;6;5
"1972";0;10;27;16;1
"1973";0;7;30;16;0
"1974";0;0;12;9;0
"1975";0;10;22;6;5
"1976";0;11;14;3;1
"1977";0;5;11;8;2
"1978";0;5;10;15;4
"1979";0;6;5;13;8
"1980";0;8;11;18;3
"1981";0;0;15;4;6
"1982";0;9;17;4;1
"1983";1;12;16;3;0
"1984";0;10;5;4;13
"1985";0;7;8;11;4
"1986";0;4;15;18;0
"1987";0;1;9;0;0
"1988";0;0;25;15;4
"1989";0;10;13;16;3
"1990";0;9;7;7;1
"1991";1;10;14;2;0
"1992";1;1;12;15;6
"1993";0;2;11;0;10
"1994";0;9;24;2;1
"1995";1;13;6;18;5
"1996";1;19;6;3;3
"1997";0;22;22;13;0
"1998";0;0;9;6;0
"1999";1;5;18;21;1
"2000";0;1;21;10;3
"2001";0;4;26;8;1
"2002";3;23;22;14;3
"2003";0;6;28;4;1
"2004";0;11;18;4;5
"2005";0;6;22;6;1
"2006";0;27;22;11;1
"2007";0;14;10;11;2
"2008";0;1;12;4;3
"2009";0;11;14;12;2
"2010";0;13;30;5;9
"2011";0;8;23;12;3
"2012";0;3;12;3;2
"2013";0;9;17;17;9
"2014";0;12;26;4;9
"2015";0;15;3;1;0
"2016";0;2;16;11;6
"2017";0;2;10;6;1
"2018";1;13;27;9;14
"2019";3;5;13;11;6
"2020";0;9;10;21;0
"2021";0;1;24;25;5
"2022";0;19;16;7;1
